method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
probe_proto__transformed0_oracle,0,probe,0.48949999999999994,0.10375,,,,,,-1.2337164878845215,1.9006844758987427,2.1112499237060547,1.372499942779541,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed0,oracle,0.341875,0.10375,,0.28625,0.6725,0.0,0.85875,0.0,0.1975,0.9625,0.8575,0.0,0.5789583333333334,diagnostic_probe
probe_proto__transformed0_oracle,1,probe,0.6247499999999999,0.42125,,,,,,0.5867028832435608,2.9615719318389893,1.2337499856948853,1.0075000524520874,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed0,oracle,0.63625,0.42125,,0.7316666666666666,0.6083333333333333,0.7975,0.50875,0.88875,0.8225,0.0075,0.995,0.0075,0.0031249999999999997,diagnostic_probe
probe_proto__transformed0_oracle,2,probe,0.6992499999999999,0.615,,,,,,0.7458696365356445,2.3596954345703125,1.3237499594688416,1.027500033378601,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed0,oracle,0.71,0.65375,,0.64625,0.7675000000000001,0.4975,0.72,0.72125,0.82625,0.48375,0.9925,0.48375,0.12895833333333334,diagnostic_probe
probe_proto__transformed1_oracle,0,probe,0.54325,0.36625,,,,,,1.6847872734069824,2.0365610122680664,1.1262499690055847,1.5475000143051147,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed1,oracle,0.6481250000000001,0.4175,,0.60125,0.5233333333333333,0.5825,0.3,0.92125,0.8375,0.0,0.7325,0.0,0.0,diagnostic_probe
probe_proto__transformed1_oracle,1,probe,0.637,0.39875,,,,,,1.461179494857788,3.507784843444824,1.199999988079071,1.1649999618530273,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed1,oracle,0.551875,0.39875,,0.7141666666666667,0.5725,0.4425,0.815,0.885,0.495,0.315,0.9075,0.315,0.13874999999999998,diagnostic_probe
probe_proto__transformed1_oracle,2,probe,0.74075,0.64,,,,,,0.5217728316783905,2.47772216796875,1.3062500357627869,1.162500023841858,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed1,oracle,0.6925,0.64,,0.7845833333333333,0.7325,0.7625,0.865,0.72625,0.79,0.475,0.9325,0.475,0.13291666666666666,diagnostic_probe
probe_proto__transformed2_oracle,0,probe,0.5175,0.01875,,,,,,2.121776819229126,0.4079832434654236,1.0912500023841858,1.3650000095367432,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed2,oracle,0.25625000000000003,0.01875,,0.8329166666666667,0.24125,0.5775,0.96,0.96125,0.02625,0.005,0.6925,0.005,0.051875,diagnostic_probe
probe_proto__transformed2_oracle,1,probe,0.6679999999999999,0.3725,,,,,,-0.1944134160876274,2.531038284301758,1.8049999475479126,1.0475000143051147,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed2,oracle,0.538125,0.3725,,0.5829166666666666,0.7979166666666666,0.6175,0.88875,0.2425,0.4925,0.91375,0.9875,0.2425,0.3079166666666666,diagnostic_probe
probe_proto__transformed2_oracle,2,probe,0.84925,0.77625,,,,,,1.9849722981452942,3.4494550228118896,1.2362499833106995,1.0225000381469727,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed2,oracle,0.79625,0.77625,,0.8541666666666666,0.8570833333333333,0.785,0.9575,0.82,0.815,0.76625,0.99,0.76625,0.16354166666666667,diagnostic_probe
probe_proto__transformed3_oracle,0,probe,0.8557499999999999,0.7775,,,,,,1.7223505973815918,2.891568899154663,1.3024999499320984,1.1024999618530273,390,390,,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed3,oracle,0.81375,0.7775,,0.8562499999999998,0.86875,0.8525,0.95375,0.7625,0.81625,0.85,0.94,0.7625,0.19062500000000002,diagnostic_probe
